NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
70,Dell Technologies,Round Rock,TX,Technology,15,84.78,86.65,79.08,88.7,dell technologies,dell technologies,,,,,,,,,,,,,,,,
71,AptarGroup,Crystal Lake,IL,Materials & Chemicals,4,84.78,94.35,81.7,78.38,aptargroup,aptargroup,,,,,,,,,,,,,,,,
72,KLA,Milpitas,CA,Technology,16,84.77,95.57,73.68,85.16,kla,kla,,,,,,,,,,,,,,,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,2.0,HP Inc,Technology Hardware,hp,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,3.0,Bank of America Corporation,Banks,bank of america,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,12.0,Dow Inc,Chemicals,dow,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,15.0,The Hershey Company,"Food, Beverage & Tobacco",the hershey,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,21.0,M&T Bank Corp,Banks,mt bank,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,22.0,Nasdaq Inc,Capital Markets,nasdaq,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,26.0,Ecolab Inc,Chemicals,ecolab,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,27.0,S&P Global Inc,Commercial Support Services,sp global,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,28.0,Organon & Co,Pharmaceuticals & Biotech,organon,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,36.0,Intel Corp,Semiconductors & Equipment,intel,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,38.0,Duke Energy Corporation,Utilities,duke energy,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,41.0,Merck & Co Inc,Pharmaceuticals & Biotech,merck co,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,43.0,NVIDIA Corp,Semiconductors & Equipment,nvidia,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,46.0,Visa Inc,Transaction Processing,visa,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,47.0,Truist Financial Corporation,Banks,truist financial,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,51.0,Equinix Inc,Real Estate,equinix,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,52.0,Lear Corporation,Automobiles & Parts,lear,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,58.0,PG&E Corporation,Utilities,pge,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,63.0,PPL Corp,Utilities,ppl,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,64.0,Entergy Corporation,Utilities,entergy,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,66.0,Adobe Inc,Software,adobe,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,68.0,AES Corp,Utilities,aes,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,70.0,Hasbro Inc,Household & Leisure Goods,hasbro,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,72.0,Otis Worldwide Corporation,Commercial Vehicles & Machinery,otis worldwide,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,73.0,Ciena Corporation,Technology Hardware,ciena,,
