STANDARDIZED_COMPANY_x,STANDARDIZED_COMPANY_y,match,COMPANY,NAME,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK
ventas,,,Ventas,,264,
realty income,,,Realty Income,,265,
coty,,,Coty,,266,
conagra brands,,,Conagra Brands,,267,
yum brands,,,Yum! Brands,,268,
burlington,,,Burlington,,269,
synopsys,,,Synopsys,,270,
edwards lifesciences,,,Edwards Lifesciences,,271,
lumen,,,Lumen,,272,
kimball electronics,,,Kimball Electronics,,273,
lincoln financial,,,Lincoln Financial,,274,
ziff davis,,,Ziff Davis,,275,
vornado realty trust,,,Vornado Realty Trust,,276,
aaon,,,AAON,,277,
tractor supply,,,Tractor Supply Co.,,278,
levi strauss,,,Levi Strauss & Co,,279,
abm industries,,,ABM Industries,,280,
assurant,,,Assurant,,281,
the greenbrier companies,,,The Greenbrier Companies,,282,
avis budget group,,,Avis Budget Group,,283,
alexandria real estate equities,,,Alexandria Real Estate Equities,,284,
keycorp,ey,ey,KeyCorp,EY,285,64.0
cooperstandard holdings,,,Cooper-Standard Holdings,,286,
vf,,,VF Corporation,,287,
chart industries,,,Chart Industries,,288,
williams companies,,,Williams Companies,,289,
advanced drainage systems,,,Advanced Drainage Systems,,290,
honeywell,ey,ey,Honeywell,EY,291,64.0
franklin electric,,,Franklin Electric,,292,
commscope,,,CommScope,,293,
oshkosh,,,Oshkosh,,294,
monolithic power systems,,,Monolithic Power Systems,,295,
fedex,,,FedEx,,296,
lincoln electric,,,Lincoln Electric,,297,
arista networks,,,Arista Networks,,298,
etsy,,,Etsy,,299,
columbus mckinnon,,,Columbus McKinnon,,300,
oil states international,,,Oil States International,,301,
tyson foods,,,Tyson Foods,,302,
resmed,,,ResMed,,303,
american axle manufacturing holdings,,,American Axle & Manufacturing Holdings,,304,
quidelortho,,,QuidelOrtho,,305,
winnebago industries,,,Winnebago Industries,,306,
planet fitness,,,Planet Fitness,,307,
steelcase,,,Steelcase,,308,
paramount group,,,Paramount Group,,309,
lyondellbasell,,,LyondellBasell,,310,
fox factory,,,Fox Factory,,311,
ipg,,,IPG,,312,
hubbell,,,Hubbell,,313,
kelly services,,,Kelly Services,,314,
intuitive,intuit,intuit,Intuitive,Intuit,315,23.0
capital one,capital one financial,capital one financial,Capital One,Capital One Financial,316,15.0
quanta,,,Quanta,,317,
hologic,,,Hologic,,318,
cabot,,,Cabot,,319,
petco,,,Petco,,320,
polaris,,,Polaris,,321,
granite construction,,,Granite Construction,,322,
intuit,intuit,intuit,Intuit,Intuit,323,23.0
bank of america,bank of america,bank of america,Bank of America,Bank of America,324,33.0
exact sciences,,,Exact Sciences,,325,
textron,,,Textron,,326,
newmont,,,Newmont,,327,
flowserve,,,Flowserve,,328,
gen digital,,,Gen Digital,,329,
diamondrock hospitality,,,DiamondRock Hospitality,,330,
eversource energy,,,Eversource Energy,,331,
varex imaging,,,Varex Imaging,,332,
regal rexnord,,,Regal Rexnord,,333,
xenia hotels resorts,,,Xenia Hotels & Resorts,,334,
balchem,,,Balchem,,335,
regions financial,,,Regions Financial,,336,
discover,discover financial services,discover financial services,Discover,Discover Financial Services,337,56.0
general electric,,,General Electric,,338,
tpi composites,,,TPI Composites,,339,
first solar,,,First Solar,,340,
repligen,,,Repligen,,341,
elanco,,,Elanco,,342,
iridium,,,iridium,,343,
essex,,,Essex,,344,
the container store,,,The Container Store,,345,
wabtec,,,Wabtec,,346,
sun communities,,,Sun Communities,,347,
acuity brands,,,Acuity Brands,,348,
transunion,,,TransUnion,,349,
spx,,,SPX,,350,
ch robinson,,,C.H. Robinson,,351,
electronic arts,,,Electronic Arts,,352,
visteon,,,Visteon,,353,
wabash,,,Wabash,,354,
sysco,,,Sysco,,355,
pactiv evergreen,,,Pactiv Evergreen,,356,
jpmorgan chase,,,JPMorgan Chase & Co,,357,
