NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
179,Invesco,Atlanta,GA,Financial,21,80.08,88.86,73.75,77.72,invesco,invesco,,,,,,,,,,,,,,,,
180,Dolby,San Francisco,CA,Technology,32,80.07,78.74,76.33,85.23,dolby,dolby,,,,,,,,,,,,,,,,
181,Mettler-Toledo,Columbus,OH,Capital Goods,17,80.04,82.86,71.54,85.8,mettlertoledo,mettlertoledo,,,,,,,,,,,,,,,,
182,Hilton,McLean,VA,"Hotels, Dining & Leisure",3,80.02,79.4,83.37,77.38,hilton,hilton,,,,,,,,,,,,,,,,
183,Howmet Aerospace,Pittsburgh,PA,Capital Goods,18,80.01,80.29,72.37,87.44,howmetaerospace,howmetaerospace,,,,,,,,,,,,,,,,
184,Macerich,Santa Monica,CA,Real Estate & Housing,15,79.97,96.56,71.32,72.14,macerich,macerich,,,,,,,,,,,,,,,,
185,Cirrus Logic,Austin,TX,Technology,33,79.9,74.44,70.11,95.24,cirruslogic,cirruslogic,,,,,,,,,,,,,,,,
186,Qurate Retail Group,West Chester,PA,Retail & Consumer Goods,28,79.89,87.55,83.04,69.18,qurateretailgroup,qurateretailgroup,,,,,,,,,,,,,,,,
187,Bath & Body Works,Columbus,OH,Retail & Consumer Goods,29,79.88,72.42,87.54,79.75,bathbodyworks,bathbodyworks,,,,,,,,,,,,,,,,
188,Empire State Realty Trust,New York City,NY,Real Estate & Housing,16,79.88,93.83,60.58,85.31,empirestaterealtytrust,empirestaterealtytrust,,,,,,,,,,,,,,,,
189,Snap,Santa Monica,CA,Media & Telecommunications,8,79.84,72.03,86.43,81.14,snap,snap,,,,,,,,,,,,,,,,
190,Mueller Water Products,Atlanta,GA,Capital Goods,19,79.83,85.78,69.79,84.0,muellerwaterproducts,muellerwaterproducts,,,,,,,,,,,,,,,,
191,McCormick & Company,Hunt Valley,MD,Retail & Consumer Goods,30,79.82,91.63,79.34,68.58,mccormickcompany,mccormickcompany,,,,,,,,,,,,,,,,
192,Onsemi,Phoenix,AZ,Technology,34,79.78,90.7,63.56,85.17,onsemi,onsemi,,,,,,,,,,,,,,,,
193,Ball,Westminster,CO,Materials & Chemicals,15,79.78,88.44,83.67,67.3,ball,ball,,,,,,,,,,,,,,,,
194,Helen of Troy,El Paso,TX,Retail & Consumer Goods,31,79.76,84.34,68.32,86.7,helenoftroy,helenoftroy,,,,,,,,,,,,,,,,
195,Verizon Communications,New York City,NY,Media & Telecommunications,9,79.72,78.6,81.81,78.83,verizoncommunications,verizoncommunications,,,,,,,,,,,,,,,,
196,Carter's,Atlanta,GA,Retail & Consumer Goods,32,79.72,85.93,72.71,80.59,carters,carters,,,,,,,,,,,,,,,,
197,California Resources,Long Beach,CA,Energy & Utilities,11,79.69,73.04,78.08,88.02,californiaresources,californiaresources,,,,,,,,,,,,,,,,
198,The Home Depot,Atlanta,GA,Retail & Consumer Goods,33,79.6,81.49,78.1,79.28,thehomedepot,thehomedepot,,,,,,,,,,,,,,,,
199,Berry Global,Evansville,IN,Materials & Chemicals,16,79.53,88.79,72.99,76.89,berryglobal,berryglobal,,,,,,,,,,,,,,,,
200,Sonoco Products,Hartsville,SC,Materials & Chemicals,17,79.53,79.89,74.38,84.39,sonocoproducts,sonocoproducts,,,,,,,,,,,,,,,,
201,Principal Financial Group,Des Moines,IA,Financial,22,79.52,72.22,89.27,77.16,principalfinancialgroup,principalfinancialgroup,,,,,,,,,,,,,,,,
202,Upwork,Santa Clara,CA,Professional Services,8,79.48,73.98,86.44,78.08,upwork,upwork,,,,,,,,,,,,,,,,
203,Amphenol,Wallingford,CT,Technology,35,79.45,88.16,67.82,82.44,amphenol,amphenol,,,,,,,,,,,,,,,,
204,Amgen,Thousand Oaks,CA,"Health Care, Life Sciences & Pharmaceuticals",15,79.43,90.25,73.55,74.59,amgen,amgen,,,,,,,,,,,,,,,,
205,Huntington Bancshares,Columbus,OH,Financial,23,79.42,78.32,85.25,74.78,huntingtonbancshares,huntingtonbancshares,,,,,,,,,,,,,,,,
206,Robert Half International,Menlo Park,CA,Professional Services,9,79.41,86.75,67.92,83.66,roberthalfinternational,roberthalfinternational,,,,,,,,,,,,,,,,
207,Caleres,St. Louis,MO,Retail & Consumer Goods,34,79.37,75.12,87.78,75.28,caleres,caleres,,,,,,,,,,,,,,,,
208,Superior Industries,Southfield,MI,Automotive & Components,5,79.35,95.49,55.29,87.37,superiorindustries,superiorindustries,,,,,,,,,,,,,,,,
209,EnerSys,Reading,PA,Energy & Utilities,12,79.32,78.73,68.73,90.59,enersys,enersys,,,,,,,,,,,,,,,,
210,Weatherford,Houston,TX,Energy & Utilities,13,79.32,85.31,75.96,76.77,weatherford,weatherford,,,,,,,,,,,,,,,,
211,Silicon Labs,Austin,TX,Technology,36,79.31,89.49,69.87,78.67,siliconlabs,siliconlabs,,,,,,,,,,,,,,,,
212,Halliburton,Houston,TX,Energy & Utilities,14,79.31,75.5,79.49,83.0,halliburton,halliburton,,,,,,,,,,,,,,,,
213,Macy's,New York City,NY,Retail & Consumer Goods,35,79.29,84.1,81.01,72.83,macys,macys,,,,,,,,,,,,,,,,
214,Carrier,Palm Beach Gardens,FL,Capital Goods,20,79.08,90.68,73.65,73.01,carrier,carrier,,,,,,,,,,,,,,,,
215,J.B. Hunt,Lowell,AZ,Transport & Logistics,2,79.05,89.01,61.74,86.5,jbhunt,jbhunt,,,,,,,,,,,,,,,,
216,Harley-Davidson,Milwaukee,WI,Automotive & Components,6,78.99,71.87,76.7,88.47,harleydavidson,harleydavidson,,,,,,,,,,,,,,,,
217,MPLX,Findlay,OH,Energy & Utilities,15,78.97,68.79,81.84,86.34,mplx,mplx,,,,,,,,,,,,,,,,
218,Post,St. Louis,MO,Retail & Consumer Goods,36,78.93,90.4,65.83,80.65,post,post,,,,,,,,,,,,,,,,
219,DICK'S Sporting Goods,Coraopolis,PA,Retail & Consumer Goods,37,78.92,74.25,83.01,79.58,dickssportinggoods,dickssportinggoods,,,,,,,,,,,,,,,,
220,Jones Lang LaSalle,Chicago,IL,Real Estate & Housing,17,78.9,90.02,63.57,83.21,joneslanglasalle,joneslanglasalle,,,,,,,,,,,,,,,,
221,Insulet,Acton,MA,"Health Care, Life Sciences & Pharmaceuticals",16,78.9,85.46,73.57,77.76,insulet,insulet,,,,,,,,,,,,,,,,
222,ICF,Fairfax,VA,Professional Services,10,78.87,76.11,79.04,81.54,icf,icf,,,,,,,,,,,,,,,,
223,Illinois Tool Works,Glenview,IL,Capital Goods,21,78.82,92.62,74.43,69.49,illinoistoolworks,illinoistoolworks,,,,,,,,,,,,,,,,
224,Kroger,Cincinnati,OH,Retail & Consumer Goods,38,78.81,88.99,70.77,76.76,kroger,kroger,,,,,,,,,,,,,,,,
225,Western Digital,San Jose,CA,Technology,37,78.8,90.34,78.13,68.01,westerndigital,westerndigital,,,,,,,,,,,,,,,,
226,Voya Financial,New York City,NY,Financial,24,78.79,83.39,71.9,81.17,voyafinancial,voyafinancial,,,,,,,,,,,,,,,,
227,Kadant,Westford,MA,Capital Goods,22,78.77,92.26,53.54,90.62,kadant,kadant,,,,,,,,,,,,,,,,
228,Manitowoc,Milwaukee,WI,Capital Goods,23,78.76,84.92,64.55,86.9,manitowoc,manitowoc,,,,,,,,,,,,,,,,
229,Omnicom Group,New York City,NY,Professional Services,11,78.71,71.98,82.89,81.31,omnicomgroup,omnicomgroup,,,,,,,,,,,,,,,,
230,Ormat Technologies,Reno,NV,Energy & Utilities,16,78.7,77.18,76.12,82.89,ormattechnologies,ormattechnologies,,,,,,,,,,,,,,,,
231,Carlisle Companies,Scottsdale,AZ,Materials & Chemicals,18,78.67,84.99,66.56,84.55,carlislecompanies,carlislecompanies,,,,,,,,,,,,,,,,
232,Belden,St. Louis,MO,Capital Goods,24,78.66,77.19,74.16,84.7,belden,belden,,,,,,,,,,,,,,,,
233,PNC Financial Services,Pittsburgh,PA,Financial,25,78.66,73.19,86.51,76.34,pncfinancialservices,pncfinancialservices,,,,,,,,,,,,,,,,
234,Pitney Bowes,Stamford,CT,Technology,38,78.61,84.36,76.9,74.65,pitneybowes,pitneybowes,,,,,,,,,,,,,,,,
235,Crown Holdings,Philadelphia,PA,Materials & Chemicals,19,78.59,82.32,62.8,90.74,crownholdings,crownholdings,,,,,,,,,,,,,,,,
236,United Natural Foods,Providence,RI,Retail & Consumer Goods,39,78.52,79.62,71.1,84.92,unitednaturalfoods,unitednaturalfoods,,,,,,,,,,,,,,,,
237,Kosmos Energy,Dallas,TX,Energy & Utilities,17,78.49,80.75,72.33,82.47,kosmosenergy,kosmosenergy,,,,,,,,,,,,,,,,
238,Waters,Milford,MA,"Health Care, Life Sciences & Pharmaceuticals",17,78.38,82.7,72.26,80.27,waters,waters,,,,,,,,,,,,,,,,
239,JBG Smith,Bethesda,MD,Real Estate & Housing,18,78.33,90.66,66.72,77.69,jbgsmith,jbgsmith,,,,,,,,,,,,,,,,
240,HubSpot,Cambridge,MA,Software,11,78.32,85.47,64.23,85.35,hubspot,hubspot,,,,,,,,,,,,,,,,
241,Vontier,Raleigh,NC,Capital Goods,25,78.28,72.59,81.34,80.99,vontier,vontier,,,,,,,,,,,,,,,,
242,Bank of New York Mellon,New York City,NY,Financial,26,78.24,85.83,76.12,72.85,bankofnewyorkmellon,bankofnewyorkmellon,,,,,,,,,,,,,,,,
243,Greif,Delaware,OH,Materials & Chemicals,20,78.21,76.54,63.53,94.62,greif,greif,,,,,,,,,,,,,,,,
244,ONEOK,Tulsa,OK,Energy & Utilities,18,78.19,71.25,86.28,77.1,oneok,oneok,,,,,,,,,,,,,,,,
245,Kennametal,Pittsburgh,PA,Capital Goods,26,78.18,84.29,62.24,88.08,kennametal,kennametal,,,,,,,,,,,,,,,,
246,Fortive,Everett,WA,Capital Goods,27,78.14,80.52,62.43,91.56,fortive,fortive,,,,,,,,,,,,,,,,
247,Sunstone Hotel Investors,Irvine,CA,Real Estate & Housing,19,78.08,89.49,77.06,67.77,sunstonehotelinvestors,sunstonehotelinvestors,,,,,,,,,,,,,,,,
248,Pebblebrook Hotel Trust,Bethesda,MD,"Hotels, Dining & Leisure",4,78.07,87.54,68.9,77.87,pebblebrookhoteltrust,pebblebrookhoteltrust,,,,,,,,,,,,,,,,
249,Vital Energy,Tulsa,OK,Energy & Utilities,19,77.99,74.62,77.46,81.97,vitalenergy,vitalenergy,,,,,,,,,,,,,,,,
250,Foot Locker,New York City,NY,Retail & Consumer Goods,40,77.89,81.35,75.51,76.88,footlocker,footlocker,,,,,,,,,,,,,,,,
251,USANA Health Sciences,West Valley City,UT,Retail & Consumer Goods,41,77.88,70.47,80.71,82.52,usanahealthsciences,usanahealthsciences,,,,,,,,,,,,,,,,
252,Union Pacific,Omaha,NE,Transport & Logistics,3,77.79,71.61,90.16,71.66,unionpacific,unionpacific,,,,,,,,,,,,,,,,
253,Spire,St. Louis,MO,Energy & Utilities,20,77.77,76.51,78.22,78.65,spire,spire,,,,,,,,,,,,,,,,
254,IPG Photonics,New York City,NY,Capital Goods,28,77.67,81.52,61.79,89.77,ipgphotonics,ipgphotonics,,,,,,,,,,,,,,,,
255,Caesars Entertainment,Reno,NV,"Hotels, Dining & Leisure",5,77.63,84.55,76.62,71.82,caesarsentertainment,caesarsentertainment,,,,,,,,,,,,,,,CAESARS ENTERTAINMENT,caesarsentertainment
256,Masco,Livonia,MI,Capital Goods,29,77.58,81.95,74.24,76.63,masco,masco,,,,,,,,,,,,,,,,
257,Charles River Laboratories,Wilmington,MA,"Health Care, Life Sciences & Pharmaceuticals",18,77.47,78.94,79.17,74.39,charlesriverlaboratories,charlesriverlaboratories,,,,,,,,,,,,,,,,
258,GE HealthCare Technologies,Chicago,IL,"Health Care, Life Sciences & Pharmaceuticals",19,77.44,81.69,71.1,79.63,gehealthcaretechnologies,gehealthcaretechnologies,,,,,,,,,,,,,,,,
259,Fortinet,Sunnyvale,CA,Technology,39,77.44,84.85,51.38,96.18,fortinet,fortinet,,,,,,,,,,,,,,,,
260,Murphy Oil,Houston,TX,Energy & Utilities,21,77.4,78.42,72.01,81.86,murphyoil,murphyoil,,,,,,,,,,,,,,,,
261,Zillow,Seattle,WA,Real Estate & Housing,20,77.4,82.74,75.91,73.63,zillow,zillow,,,,,,,,,,,,,,,,
262,Ryman Hospitality Properties,Nashville,TN,Real Estate & Housing,21,77.4,85.62,77.58,69.08,rymanhospitalityproperties,rymanhospitalityproperties,,,,,,,,,,,,,,,,
263,Park Hotels & Resorts,Tysons,VA,Real Estate & Housing,22,77.36,86.18,61.8,84.17,parkhotelsresorts,parkhotelsresorts,,,,,,,,,,,,,,,,
264,Ventas,Chicago,IL,Real Estate & Housing,23,77.34,85.2,71.15,75.75,ventas,ventas,,,,,,,,,,,,,,,,
265,Realty Income,San Diego,CA,Real Estate & Housing,24,77.26,75.93,80.24,75.7,realtyincome,realtyincome,,,,,,,,,,,,,,,,
266,Coty,New York City,NY,Retail & Consumer Goods,42,77.26,85.05,73.01,73.81,coty,coty,,,,,,,,,,,,,,,,
267,Conagra Brands,Chicago,IL,Retail & Consumer Goods,43,77.26,79.26,83.25,69.34,conagrabrands,conagrabrands,,,,,,,,,,,,,,,,
268,Yum! Brands,Louisville,KY,"Hotels, Dining & Leisure",6,77.22,78.01,75.82,77.91,yumbrands,yumbrands,,,,,,,,,,,,,,,,
269,Burlington,Burlington,NJ,Retail & Consumer Goods,44,77.2,83.24,69.8,78.64,burlington,burlington,,,,,,,,,,,,,,,,
270,Synopsys,Mountain View,CA,Software,12,77.19,73.11,69.78,88.76,synopsys,synopsys,,,,,,,,,,,,,,,,
271,Edwards Lifesciences,Irvine,CA,"Health Care, Life Sciences & Pharmaceuticals",20,77.18,94.11,55.22,82.3,edwardslifesciences,edwardslifesciences,,,,,,,,,,,,,,,,
272,Lumen,Monroe,LA,Media & Telecommunications,10,77.18,86.13,72.46,73.02,lumen,lumen,,,,,,,,,,,,,,,,
273,Kimball Electronics,Jasper,IN,Capital Goods,30,77.17,86.39,58.38,86.83,kimballelectronics,kimballelectronics,,,,,,,,,,,,,,,,
274,Lincoln Financial,Radnor,PA,Financial,27,77.12,84.93,82.72,63.8,lincolnfinancial,lincolnfinancial,,,,,,,,,,,,,,,,
275,Ziff Davis,New York City,NY,Media & Telecommunications,11,77.09,73.35,81.47,76.53,ziffdavis,ziffdavis,,,,,,,,,,,,,,,,
276,Vornado Realty Trust,New York City,NY,Real Estate & Housing,25,77.05,86.01,62.28,82.95,vornadorealtytrust,vornadorealtytrust,,,,,,,,,,,,,,,,
277,AAON,Tulsa,OK,Capital Goods,31,76.91,80.92,66.5,83.4,aaon,aaon,,,,,,,,,,,,,,,,
278,Tractor Supply Co.,Brentwood,TN,Retail & Consumer Goods,45,76.87,76.83,78.14,75.7,tractorsupplyco,tractorsupplyco,,,,,,,,,,,,,,,,
279,Levi Strauss & Co,San Francisco,CA,Retail & Consumer Goods,46,76.82,86.38,64.41,79.76,levistraussco,levistraussco,,,,,,,,,,,,,,,,
280,ABM Industries,New York City,NY,Professional Services,12,76.73,70.52,72.48,87.27,abmindustries,abmindustries,,,,,,,,,,,,,,,,
281,Assurant,New York City,NY,Financial,28,76.73,71.05,86.67,72.54,assurant,assurant,,,,,,,,,,,,,,,,
282,The Greenbrier Companies,Lake Oswego,OR,Transport & Logistics,4,76.71,82.47,72.77,74.97,thegreenbriercompanies,thegreenbriercompanies,,,,,,,,,,,,,,,,
283,Avis Budget Group,Parsippany,NJ,Professional Services,13,76.71,68.91,70.65,90.63,avisbudgetgroup,avisbudgetgroup,,,,,,,,,,,,,,,,
284,Alexandria Real Estate Equities,Pasadena,CA,Real Estate & Housing,26,76.66,86.02,70.33,73.72,alexandriarealestateequities,alexandriarealestateequities,,,,,,,,,,,,,,,,
285,KeyCorp,Cleveland,OH,Financial,29,76.65,77.25,87.85,64.94,keycorp,keycorp,,,,,,,,,,,76.0,KeyCorp,Banks,keycorp,,
286,Cooper-Standard Holdings,Northville,MI,Automotive & Components,7,76.65,80.21,72.51,77.31,cooperstandardholdings,cooperstandardholdings,,,,,,,,,,,,,,,,
287,VF Corporation,Denver,CO,Retail & Consumer Goods,47,76.62,89.11,67.7,73.14,vfcorporation,vfcorporation,,,,,,,,,,,,,,,,
288,Chart Industries,Ball Ground,GA,Capital Goods,32,76.61,78.46,71.73,79.72,chartindustries,chartindustries,,,,,,,,,,,,,,,,
289,Williams Companies,Tulsa,OK,Energy & Utilities,22,76.61,70.39,81.17,78.33,williamscompanies,williamscompanies,,,,,,,,,,,,,,,,
290,Advanced Drainage Systems,Hilliard,OH,Materials & Chemicals,21,76.51,83.24,65.43,80.95,advanceddrainagesystems,advanceddrainagesystems,,,,,,,,,,,,,,,,
291,Honeywell,Charlotte,NC,Capital Goods,33,76.41,80.93,76.21,72.16,honeywell,honeywell,,,,,,,,,,,,,,,,
292,Franklin Electric,Fort Wayne,IN,Capital Goods,34,76.38,82.26,69.25,77.71,franklinelectric,franklinelectric,,,,,,,,,,,,,,,,
293,CommScope,Hickory,NC,Technology,40,76.37,88.7,66.52,73.97,commscope,commscope,,,,,,,,,,,,,,,,
294,Oshkosh,Oshkosh,WI,Automotive & Components,8,76.35,81.94,72.84,74.36,oshkosh,oshkosh,,,,,,,,,,,,,,,,
295,Monolithic Power Systems,Kirkland,WA,Technology,41,76.35,85.36,76.44,67.32,monolithicpowersystems,monolithicpowersystems,,,,,,,,,,,,,,,,
296,FedEx,Memphis,TN,Transport & Logistics,5,76.32,77.82,78.99,72.24,fedex,fedex,,,,,,,,,,,,,,,,
297,Lincoln Electric,Cleveland,OH,Capital Goods,35,76.28,84.77,68.88,75.26,lincolnelectric,lincolnelectric,,,,,,,,,,,,,,,,
298,Arista Networks,Santa Clara,CA,Media & Telecommunications,12,76.23,85.83,61.8,81.13,aristanetworks,aristanetworks,,,,,,,,,,,,,,,,
299,Etsy,Brooklyn,NY,Retail & Consumer Goods,48,76.22,71.27,75.98,81.5,etsy,etsy,,,,,,,,,,,,,,,,
300,Columbus McKinnon,Buffalo,NY,Capital Goods,36,76.21,86.45,57.35,84.92,columbusmckinnon,columbusmckinnon,,,,,,,,,,,,,,,,
301,Oil States International,Houston,TX,Energy & Utilities,23,76.21,85.22,64.99,78.5,oilstatesinternational,oilstatesinternational,,,,,,,,,,,,,,,,
302,Tyson Foods,Springdale,AR,Retail & Consumer Goods,49,76.17,86.1,65.41,77.08,tysonfoods,tysonfoods,,,,,,,,,,,,,,,,
303,ResMed,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",21,76.16,86.37,70.31,71.89,resmed,resmed,,,,,,,,,,,,,,,,
304,American Axle & Manufacturing Holdings,Detroit,MI,Automotive & Components,9,76.14,79.49,71.32,77.68,americanaxlemanufacturingholdings,americanaxlemanufacturingholdings,,,,,,,,,,,,,,,,
305,QuidelOrtho,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",22,76.14,88.76,64.23,75.51,quidelortho,quidelortho,,,,,,,,,,,,,,,,
306,Winnebago Industries,Eden Prairie,MN,Automotive & Components,10,76.14,74.78,63.09,90.6,winnebagoindustries,winnebagoindustries,,,,,,,,,,,,,,,,
307,Planet Fitness,Hampton,NH,"Hotels, Dining & Leisure",7,76.13,77.86,71.03,79.58,planetfitness,planetfitness,,,,,,,,,,,,,,,,
308,Steelcase,Grand Rapids,MI,Retail & Consumer Goods,50,76.13,87.93,77.62,62.92,steelcase,steelcase,,,,,,,,,,,,,,,STEELCASE,steelcase
309,Paramount Group,New York City,NY,Real Estate & Housing,27,76.12,81.35,73.32,73.76,paramountgroup,paramountgroup,,,,,,,,,,,,,,,,
310,LyondellBasell,Houston,TX,Materials & Chemicals,22,76.09,70.0,73.88,84.47,lyondellbasell,lyondellbasell,,,,,,,,,,,,,,,,
311,Fox Factory,Duluth,GA,Automotive & Components,11,76.09,82.15,68.04,78.16,foxfactory,foxfactory,,,,,,,,,,,,,,,,
312,IPG,New York City,NY,Professional Services,14,76.04,72.83,67.85,87.51,ipg,ipg,,,,,,,,,,,,,,,,
313,Hubbell,Shelton,CT,Capital Goods,37,76.01,81.56,63.18,83.37,hubbell,hubbell,,,,,,,,,,,,,,,,
314,Kelly Services,Troy,MI,Professional Services,15,76.0,66.17,74.83,87.08,kellyservices,kellyservices,,,,,,,,,,,,,,,,
315,Intuitive,Sunnyvale,CA,"Health Care, Life Sciences & Pharmaceuticals",23,76.0,65.03,86.28,76.77,intuitive,intuitive,,,,,,,,,,,,,,,,
316,Capital One,McLean,VA,Financial,30,76.0,75.43,80.81,71.84,capitalone,capitalone,,,,,,,,,,,,,,,CAPITAL ONE,capitalone
317,Quanta,Houston,TX,Energy & Utilities,24,76.0,83.07,64.69,80.32,quanta,quanta,,,,,,,,,,,,,,,,
318,Hologic,Marlborough,MA,"Health Care, Life Sciences & Pharmaceuticals",24,76.0,71.24,81.68,75.14,hologic,hologic,,,,,,,,,,,,,,,,
319,Cabot,Boston,MA,Materials & Chemicals,23,75.98,60.96,73.19,93.85,cabot,cabot,,,,,,,,,,,,,,,,
320,Petco,San Diego,CA,Retail & Consumer Goods,51,75.97,85.18,77.01,65.8,petco,petco,,,,,,,,,,,,,,,,
321,Polaris,Medina,MN,Automotive & Components,12,75.94,83.05,63.54,81.32,polaris,polaris,,,,,,,,,,,,,,,,
322,Granite Construction,Watsonville,CA,Capital Goods,38,75.94,67.0,74.98,85.91,graniteconstruction,graniteconstruction,,,,,,,,,,,,,,,,
323,Intuit,Mountain View,CA,Software,13,75.8,87.14,69.6,70.74,intuit,intuit,23.0,Intuit,51%,19%,846,80,80,80,Yes,intuit,,,,,,
324,Bank of America,Charlotte,NC,Financial,31,75.78,82.42,71.04,73.96,bankofamerica,bankofamerica,33.0,Bank of America,53%,50%,3545,80,80,80,Yes,bankofamerica,,,,,,
325,Exact Sciences,Madison,WI,"Health Care, Life Sciences & Pharmaceuticals",25,75.78,83.57,75.83,68.02,exactsciences,exactsciences,,,,,,,,,,,,,,,,
326,Textron,Providence,RI,Capital Goods,39,75.73,88.28,61.25,77.74,textron,textron,,,,,,,,,,,,,,,,
327,Newmont,Denver,CO,Materials & Chemicals,24,75.71,79.73,86.74,60.76,newmont,newmont,,,,,,,,,,,,,,,,
328,Flowserve,Irving,TX,Capital Goods,40,75.69,79.56,65.88,81.7,flowserve,flowserve,,,,,,,,,,,,,,,,
329,Gen Digital,Tempe,AZ,Media & Telecommunications,13,75.66,92.55,69.21,65.31,gendigital,gendigital,,,,,,,,,,,,,,,,
330,DiamondRock Hospitality,Bethesda,MD,Real Estate & Housing,28,75.64,88.56,64.73,73.73,diamondrockhospitality,diamondrockhospitality,,,,,,,,,,,,,,,,
331,Eversource Energy,Springfield,MA,Energy & Utilities,25,75.64,80.22,76.62,70.16,eversourceenergy,eversourceenergy,,,,,,,,,,,7.0,Eversource Energy,Utilities,eversourceenergy,,
332,Varex Imaging,Salt Lake City,UT,"Health Care, Life Sciences & Pharmaceuticals",26,75.64,88.09,59.1,79.81,vareximaging,vareximaging,,,,,,,,,,,,,,,,
333,Regal Rexnord,Beloit,WI,Capital Goods,41,75.59,92.68,60.03,74.15,regalrexnord,regalrexnord,,,,,,,,,,,,,,,,
334,Xenia Hotels & Resorts,Orlando,FL,Real Estate & Housing,29,75.58,81.26,65.03,80.52,xeniahotelsresorts,xeniahotelsresorts,,,,,,,,,,,,,,,,
335,Balchem,Montvale,NJ,Materials & Chemicals,25,75.55,73.72,72.53,80.48,balchem,balchem,,,,,,,,,,,,,,,,
336,Regions Financial,Birmingham,AL,Financial,32,75.52,68.19,83.3,75.15,regionsfinancial,regionsfinancial,,,,,,,,,,,,,,,,
337,Discover,Riverwoods,IL,Financial,33,75.48,72.76,86.21,67.53,discover,discover,,,,,,,,,,,,,,,,
338,General Electric,Boston,MA,Capital Goods,42,75.46,77.65,68.45,80.36,generalelectric,generalelectric,,,,,,,,,,,,,,,,
339,TPI Composites,Scottsdale,AZ,Capital Goods,43,75.45,76.66,80.51,69.25,tpicomposites,tpicomposites,,,,,,,,,,,,,,,,
340,First Solar,Tempe,AZ,Energy & Utilities,26,75.42,87.13,73.45,65.75,firstsolar,firstsolar,,,,,,,,,,,,,,,,
341,Repligen,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",27,75.4,84.59,61.49,80.2,repligen,repligen,,,,,,,,,,,,,,,,
342,Elanco,Greenfield,IN,"Health Care, Life Sciences & Pharmaceuticals",28,75.39,87.15,67.4,71.71,elanco,elanco,,,,,,,,,,,,,,,,
343,iridium,McLean,VA,Media & Telecommunications,14,75.31,82.08,69.75,74.18,iridium,iridium,,,,,,,,,,,,,,,,
344,Essex,San Mateo,CA,Real Estate & Housing,30,75.31,80.67,75.86,69.47,essex,essex,,,,,,,,,,,,,,,,
345,The Container Store,Coppell,TX,Retail & Consumer Goods,52,75.27,84.33,73.11,68.45,thecontainerstore,thecontainerstore,,,,,,,,,,,,,,,,
346,Wabtec,Pittsburgh,PA,Transport & Logistics,6,75.16,78.55,71.89,75.12,wabtec,wabtec,,,,,,,,,,,,,,,,
347,Sun Communities,Southfield,MI,Real Estate & Housing,31,75.15,81.16,70.32,74.05,suncommunities,suncommunities,,,,,,,,,,,,,,,,
348,Acuity Brands,Atlanta,GA,Capital Goods,44,75.15,81.94,61.06,82.52,acuitybrands,acuitybrands,,,,,,,,,,,,,,,,
349,TransUnion,Chicago,IL,Professional Services,16,75.13,76.05,80.11,69.29,transunion,transunion,,,,,,,,,,,,,,,,
350,SPX,Charlotte,NC,Capital Goods,45,75.11,83.88,68.89,72.66,spx,spx,,,,,,,,,,,,,,,,
351,C.H. Robinson,Eden Prairie,MN,Transport & Logistics,7,75.11,68.06,79.43,77.92,chrobinson,chrobinson,,,,,,,,,,,,,,,,
352,Electronic Arts,Redwood City,CA,Software,14,75.1,79.12,77.12,69.15,electronicarts,electronicarts,,,,,,,,,,,,,,,,
353,Visteon,Van Buren Township,MI,Automotive & Components,13,75.06,98.65,53.69,72.92,visteon,visteon,,,,,,,,,,,,,,,,
354,Wabash,Lafayette,IN,Capital Goods,46,75.05,82.74,58.5,83.99,wabash,wabash,,,,,,,,,,,,,,,,
355,Sysco,Houston,TX,Retail & Consumer Goods,53,75.02,70.09,69.8,85.25,sysco,sysco,,,,,,,,,,,,,,,,
356,Pactiv Evergreen,Lake Forest,IL,Materials & Chemicals,26,75.01,79.0,57.46,88.64,pactivevergreen,pactivevergreen,,,,,,,,,,,,,,,,
357,JPMorgan Chase & Co,New York City,NY,Financial,34,75.01,79.22,71.38,74.5,jpmorganchaseco,jpmorganchaseco,,,,,,,,,,,37.0,JPMorgan Chase & Co,Banks,jpmorganchaseco,,
358,Aramark,Philadelphia,PA,"Hotels, Dining & Leisure",8,74.97,76.15,66.78,82.07,aramark,aramark,,,,,,,,,,,,,,,ARAMARK,aramark
359,Public Storage,Glendale,CA,Real Estate & Housing,32,74.92,80.45,74.95,69.44,publicstorage,publicstorage,,,,,,,,,,,,,,,,
