RANK_x,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,original_name,match_name,score,match_index,RANK_y,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,UNNAMED: 9
61,target,Minneapolis,MN,Retail & Consumer Goods,9,85.52,88.27,85.99,82.38,target,target,100.0,60,65.0,target,-,-,10000,20,20,20,-,View More details about Target
594,ally financial,Detroit,MI,Financial,53,67.26,63.0,67.19,71.66,ally financial,ally financial,100.0,594,66.0,ally financial,49%,42%,300,60,60,60,Yes,View More details about Ally Financial
176,servicenow,Santa Clara,CA,Software,10,80.2,73.78,79.53,87.35,servicenow,servicenow,100.0,176,68.0,servicenow,-,-,1100,100,60,60,Yes,View More details about ServiceNow
134,salesforce,San Francisco,CA,Software,8,82.02,83.22,87.23,75.69,salesforce,salesforce,100.0,133,70.0,salesforce,40%,-,-,130,60,130,Yes,View More details about Salesforce
374,vertex pharmaceuticals,Boston,MA,"Health Care, Life Sciences & Pharmaceuticals",31,74.59,77.25,86.3,60.31,vertex pharmaceuticals,vertex pharmaceuticals,100.0,374,76.0,vertex pharmaceuticals,53%,39%,1000,60,60,60,Yes,View More details about Vertex Pharmaceuticals
6,hp,Palo Alto,CA,Technology,2,91.44,91.18,98.33,84.91,hp,hp,100.0,5,86.0,hp,33%,40%,765,100,60,60,Yes,View More details about HP
1,merck,Rahway,NJ,"Health Care, Life Sciences & Pharmaceuticals",1,97.83,95.31,98.28,100.0,,,,0,,,,,,,,,,
2,general mills,Minneapolis,MN,Retail & Consumer Goods,1,96.85,96.97,100.0,93.66,,,,1,,,,,,,,,,
3,illumina,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",2,92.56,94.35,94.37,89.04,,,,2,,,,,,,,,,
4,applied materials,Santa Clara,CA,Technology,1,91.88,94.92,90.5,90.33,,,,3,,,,,,,,,,
5,tapestry,New York City,NY,Retail & Consumer Goods,2,91.59,91.9,87.33,95.63,,,,4,,,,,,,,,,
10,agilent,Santa Clara,CA,"Health Care, Life Sciences & Pharmaceuticals",3,90.02,89.91,93.84,86.4,,,,9,,,,,,,,,,
11,avery dennison,Glendale,CA,Capital Goods,1,89.86,99.33,80.14,90.22,,,,10,,,,,,,,,,
12,ecolab,St. Paul,MN,Materials & Chemicals,1,89.86,91.99,90.74,86.95,,,,11,,,,,,,,,,
13,analog devices,Wilmington,MA,Technology,5,89.82,98.4,71.16,99.98,,,,12,,,,,,,,,,
14,palo alto networks,Santa Clara,CA,Software,1,89.78,85.0,90.99,93.43,,,,13,,,,,,,,,,
