RANK_x,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,original_name,match_name,score,match_index,RANK_y,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,UNNAMED: 9
208,enersys,Reading,PA,Energy & Utilities,12,79.32,78.73,68.73,90.59,,,,208,,,,,,,,,,
209,weatherford,Houston,TX,Energy & Utilities,13,79.32,85.31,75.96,76.77,,,,209,,,,,,,,,,
210,silicon labs,Austin,TX,Technology,36,79.31,89.49,69.87,78.67,,,,210,,,,,,,,,,
211,halliburton,Houston,TX,Energy & Utilities,14,79.31,75.5,79.49,83.0,,,,211,,,,,,,,,,
212,macys,New York City,NY,Retail & Consumer Goods,35,79.29,84.1,81.01,72.83,,,,212,,,,,,,,,,
213,carrier,Palm Beach Gardens,FL,Capital Goods,20,79.08,90.68,73.65,73.01,,,,213,,,,,,,,,,
214,jb hunt,Lowell,AZ,Transport & Logistics,2,79.05,89.01,61.74,86.5,,,,214,,,,,,,,,,
215,harleydavidson,Milwaukee,WI,Automotive & Components,6,78.99,71.87,76.7,88.47,,,,215,,,,,,,,,,
216,mplx,Findlay,OH,Energy & Utilities,15,78.97,68.79,81.84,86.34,,,,216,,,,,,,,,,
217,post,St. Louis,MO,Retail & Consumer Goods,36,78.93,90.4,65.83,80.65,,,,217,,,,,,,,,,
218,dicks sporting goods,Coraopolis,PA,Retail & Consumer Goods,37,78.92,74.25,83.01,79.58,,,,218,,,,,,,,,,
219,jones lang lasalle,Chicago,IL,Real Estate & Housing,17,78.9,90.02,63.57,83.21,,,,219,,,,,,,,,,
220,insulet,Acton,MA,"Health Care, Life Sciences & Pharmaceuticals",16,78.9,85.46,73.57,77.76,,,,220,,,,,,,,,,
221,icf,Fairfax,VA,Professional Services,10,78.87,76.11,79.04,81.54,,,,221,,,,,,,,,,
222,illinois tool works,Glenview,IL,Capital Goods,21,78.82,92.62,74.43,69.49,,,,222,,,,,,,,,,
223,kroger,Cincinnati,OH,Retail & Consumer Goods,38,78.81,88.99,70.77,76.76,,,,223,,,,,,,,,,
224,western digital,San Jose,CA,Technology,37,78.8,90.34,78.13,68.01,,,,224,,,,,,,,,,
225,voya financial,New York City,NY,Financial,24,78.79,83.39,71.9,81.17,,,,225,,,,,,,,,,
226,kadant,Westford,MA,Capital Goods,22,78.77,92.26,53.54,90.62,,,,226,,,,,,,,,,
227,manitowoc,Milwaukee,WI,Capital Goods,23,78.76,84.92,64.55,86.9,,,,227,,,,,,,,,,
228,omnicom group,New York City,NY,Professional Services,11,78.71,71.98,82.89,81.31,,,,228,,,,,,,,,,
229,ormat technologies,Reno,NV,Energy & Utilities,16,78.7,77.18,76.12,82.89,,,,229,,,,,,,,,,
230,carlisle companies,Scottsdale,AZ,Materials & Chemicals,18,78.67,84.99,66.56,84.55,,,,230,,,,,,,,,,
231,belden,St. Louis,MO,Capital Goods,24,78.66,77.19,74.16,84.7,,,,231,,,,,,,,,,
232,pnc financial services,Pittsburgh,PA,Financial,25,78.66,73.19,86.51,76.34,,,,232,,,,,,,,,,
233,pitney bowes,Stamford,CT,Technology,38,78.61,84.36,76.9,74.65,,,,233,,,,,,,,,,
234,crown holdings,Philadelphia,PA,Materials & Chemicals,19,78.59,82.32,62.8,90.74,,,,234,,,,,,,,,,
235,united natural foods,Providence,RI,Retail & Consumer Goods,39,78.52,79.62,71.1,84.92,,,,235,,,,,,,,,,
236,kosmos energy,Dallas,TX,Energy & Utilities,17,78.49,80.75,72.33,82.47,,,,236,,,,,,,,,,
237,waters,Milford,MA,"Health Care, Life Sciences & Pharmaceuticals",17,78.38,82.7,72.26,80.27,,,,237,,,,,,,,,,
238,jbg smith,Bethesda,MD,Real Estate & Housing,18,78.33,90.66,66.72,77.69,,,,238,,,,,,,,,,
239,hubspot,Cambridge,MA,Software,11,78.32,85.47,64.23,85.35,,,,239,,,,,,,,,,
240,vontier,Raleigh,NC,Capital Goods,25,78.28,72.59,81.34,80.99,,,,240,,,,,,,,,,
241,bank of new york mellon,New York City,NY,Financial,26,78.24,85.83,76.12,72.85,,,,241,,,,,,,,,,
242,greif,Delaware,OH,Materials & Chemicals,20,78.21,76.54,63.53,94.62,,,,242,,,,,,,,,,
243,oneok,Tulsa,OK,Energy & Utilities,18,78.19,71.25,86.28,77.1,,,,243,,,,,,,,,,
244,kennametal,Pittsburgh,PA,Capital Goods,26,78.18,84.29,62.24,88.08,,,,244,,,,,,,,,,
245,fortive,Everett,WA,Capital Goods,27,78.14,80.52,62.43,91.56,,,,245,,,,,,,,,,
246,sunstone hotel investors,Irvine,CA,Real Estate & Housing,19,78.08,89.49,77.06,67.77,,,,246,,,,,,,,,,
247,pebblebrook hotel trust,Bethesda,MD,"Hotels, Dining & Leisure",4,78.07,87.54,68.9,77.87,,,,247,,,,,,,,,,
248,vital energy,Tulsa,OK,Energy & Utilities,19,77.99,74.62,77.46,81.97,,,,248,,,,,,,,,,
249,foot locker,New York City,NY,Retail & Consumer Goods,40,77.89,81.35,75.51,76.88,,,,249,,,,,,,,,,
250,usana health sciences,West Valley City,UT,Retail & Consumer Goods,41,77.88,70.47,80.71,82.52,,,,250,,,,,,,,,,
251,union pacific,Omaha,NE,Transport & Logistics,3,77.79,71.61,90.16,71.66,,,,251,,,,,,,,,,
252,spire,St. Louis,MO,Energy & Utilities,20,77.77,76.51,78.22,78.65,,,,252,,,,,,,,,,
253,ipg photonics,New York City,NY,Capital Goods,28,77.67,81.52,61.79,89.77,,,,253,,,,,,,,,,
254,caesars entertainment,Reno,NV,"Hotels, Dining & Leisure",5,77.63,84.55,76.62,71.82,,,,254,,,,,,,,,,
255,masco,Livonia,MI,Capital Goods,29,77.58,81.95,74.24,76.63,,,,255,,,,,,,,,,
256,charles river laboratories,Wilmington,MA,"Health Care, Life Sciences & Pharmaceuticals",18,77.47,78.94,79.17,74.39,,,,256,,,,,,,,,,
257,ge healthcare technologies,Chicago,IL,"Health Care, Life Sciences & Pharmaceuticals",19,77.44,81.69,71.1,79.63,,,,257,,,,,,,,,,
258,fortinet,Sunnyvale,CA,Technology,39,77.44,84.85,51.38,96.18,,,,258,,,,,,,,,,
259,murphy oil,Houston,TX,Energy & Utilities,21,77.4,78.42,72.01,81.86,,,,259,,,,,,,,,,
260,zillow,Seattle,WA,Real Estate & Housing,20,77.4,82.74,75.91,73.63,,,,260,,,,,,,,,,
261,ryman hospitality properties,Nashville,TN,Real Estate & Housing,21,77.4,85.62,77.58,69.08,,,,261,,,,,,,,,,
262,park hotels resorts,Tysons,VA,Real Estate & Housing,22,77.36,86.18,61.8,84.17,,,,262,,,,,,,,,,
263,ventas,Chicago,IL,Real Estate & Housing,23,77.34,85.2,71.15,75.75,,,,263,,,,,,,,,,
264,realty income,San Diego,CA,Real Estate & Housing,24,77.26,75.93,80.24,75.7,,,,264,,,,,,,,,,
265,coty,New York City,NY,Retail & Consumer Goods,42,77.26,85.05,73.01,73.81,,,,265,,,,,,,,,,
266,conagra brands,Chicago,IL,Retail & Consumer Goods,43,77.26,79.26,83.25,69.34,,,,266,,,,,,,,,,
267,yum brands,Louisville,KY,"Hotels, Dining & Leisure",6,77.22,78.01,75.82,77.91,,,,267,,,,,,,,,,
268,burlington,Burlington,NJ,Retail & Consumer Goods,44,77.2,83.24,69.8,78.64,,,,268,,,,,,,,,,
269,synopsys,Mountain View,CA,Software,12,77.19,73.11,69.78,88.76,,,,269,,,,,,,,,,
270,edwards lifesciences,Irvine,CA,"Health Care, Life Sciences & Pharmaceuticals",20,77.18,94.11,55.22,82.3,,,,270,,,,,,,,,,
271,lumen,Monroe,LA,Media & Telecommunications,10,77.18,86.13,72.46,73.02,,,,271,,,,,,,,,,
272,kimball electronics,Jasper,IN,Capital Goods,30,77.17,86.39,58.38,86.83,,,,272,,,,,,,,,,
273,lincoln financial,Radnor,PA,Financial,27,77.12,84.93,82.72,63.8,,,,273,,,,,,,,,,
274,ziff davis,New York City,NY,Media & Telecommunications,11,77.09,73.35,81.47,76.53,,,,274,,,,,,,,,,
275,vornado realty trust,New York City,NY,Real Estate & Housing,25,77.05,86.01,62.28,82.95,,,,275,,,,,,,,,,
276,aaon,Tulsa,OK,Capital Goods,31,76.91,80.92,66.5,83.4,,,,276,,,,,,,,,,
277,tractor supply co,Brentwood,TN,Retail & Consumer Goods,45,76.87,76.83,78.14,75.7,,,,277,,,,,,,,,,
278,levi strauss co,San Francisco,CA,Retail & Consumer Goods,46,76.82,86.38,64.41,79.76,,,,278,,,,,,,,,,
279,abm industries,New York City,NY,Professional Services,12,76.73,70.52,72.48,87.27,,,,279,,,,,,,,,,
280,assurant,New York City,NY,Financial,28,76.73,71.05,86.67,72.54,,,,280,,,,,,,,,,
281,the greenbrier companies,Lake Oswego,OR,Transport & Logistics,4,76.71,82.47,72.77,74.97,,,,281,,,,,,,,,,
282,avis budget group,Parsippany,NJ,Professional Services,13,76.71,68.91,70.65,90.63,,,,282,,,,,,,,,,
283,alexandria real estate equities,Pasadena,CA,Real Estate & Housing,26,76.66,86.02,70.33,73.72,,,,283,,,,,,,,,,
284,keycorp,Cleveland,OH,Financial,29,76.65,77.25,87.85,64.94,,,,284,,,,,,,,,,
285,cooperstandard holdings,Northville,MI,Automotive & Components,7,76.65,80.21,72.51,77.31,,,,285,,,,,,,,,,
286,vf corporation,Denver,CO,Retail & Consumer Goods,47,76.62,89.11,67.7,73.14,,,,286,,,,,,,,,,
287,chart industries,Ball Ground,GA,Capital Goods,32,76.61,78.46,71.73,79.72,,,,287,,,,,,,,,,
288,williams companies,Tulsa,OK,Energy & Utilities,22,76.61,70.39,81.17,78.33,,,,288,,,,,,,,,,
289,advanced drainage systems,Hilliard,OH,Materials & Chemicals,21,76.51,83.24,65.43,80.95,,,,289,,,,,,,,,,
290,honeywell,Charlotte,NC,Capital Goods,33,76.41,80.93,76.21,72.16,,,,290,,,,,,,,,,
291,franklin electric,Fort Wayne,IN,Capital Goods,34,76.38,82.26,69.25,77.71,,,,291,,,,,,,,,,
292,commscope,Hickory,NC,Technology,40,76.37,88.7,66.52,73.97,,,,292,,,,,,,,,,
293,oshkosh,Oshkosh,WI,Automotive & Components,8,76.35,81.94,72.84,74.36,,,,293,,,,,,,,,,
294,monolithic power systems,Kirkland,WA,Technology,41,76.35,85.36,76.44,67.32,,,,294,,,,,,,,,,
295,fedex,Memphis,TN,Transport & Logistics,5,76.32,77.82,78.99,72.24,,,,295,,,,,,,,,,
296,lincoln electric,Cleveland,OH,Capital Goods,35,76.28,84.77,68.88,75.26,,,,296,,,,,,,,,,
297,arista networks,Santa Clara,CA,Media & Telecommunications,12,76.23,85.83,61.8,81.13,,,,297,,,,,,,,,,
298,etsy,Brooklyn,NY,Retail & Consumer Goods,48,76.22,71.27,75.98,81.5,,,,298,,,,,,,,,,
299,columbus mckinnon,Buffalo,NY,Capital Goods,36,76.21,86.45,57.35,84.92,,,,299,,,,,,,,,,
300,oil states international,Houston,TX,Energy & Utilities,23,76.21,85.22,64.99,78.5,,,,300,,,,,,,,,,
301,tyson foods,Springdale,AR,Retail & Consumer Goods,49,76.17,86.1,65.41,77.08,,,,301,,,,,,,,,,
302,resmed,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",21,76.16,86.37,70.31,71.89,,,,302,,,,,,,,,,
303,american axle manufacturing holdings,Detroit,MI,Automotive & Components,9,76.14,79.49,71.32,77.68,,,,303,,,,,,,,,,
304,quidelortho,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",22,76.14,88.76,64.23,75.51,,,,304,,,,,,,,,,
305,winnebago industries,Eden Prairie,MN,Automotive & Components,10,76.14,74.78,63.09,90.6,,,,305,,,,,,,,,,
306,planet fitness,Hampton,NH,"Hotels, Dining & Leisure",7,76.13,77.86,71.03,79.58,,,,306,,,,,,,,,,
307,steelcase,Grand Rapids,MI,Retail & Consumer Goods,50,76.13,87.93,77.62,62.92,,,,307,,,,,,,,,,
308,paramount group,New York City,NY,Real Estate & Housing,27,76.12,81.35,73.32,73.76,,,,308,,,,,,,,,,
309,lyondellbasell,Houston,TX,Materials & Chemicals,22,76.09,70.0,73.88,84.47,,,,309,,,,,,,,,,
310,fox factory,Duluth,GA,Automotive & Components,11,76.09,82.15,68.04,78.16,,,,310,,,,,,,,,,
311,ipg,New York City,NY,Professional Services,14,76.04,72.83,67.85,87.51,,,,311,,,,,,,,,,
312,hubbell,Shelton,CT,Capital Goods,37,76.01,81.56,63.18,83.37,,,,312,,,,,,,,,,
313,kelly services,Troy,MI,Professional Services,15,76.0,66.17,74.83,87.08,,,,313,,,,,,,,,,
314,intuitive,Sunnyvale,CA,"Health Care, Life Sciences & Pharmaceuticals",23,76.0,65.03,86.28,76.77,,,,314,,,,,,,,,,
315,capital one,McLean,VA,Financial,30,76.0,75.43,80.81,71.84,,,,315,,,,,,,,,,
316,quanta,Houston,TX,Energy & Utilities,24,76.0,83.07,64.69,80.32,,,,316,,,,,,,,,,
317,hologic,Marlborough,MA,"Health Care, Life Sciences & Pharmaceuticals",24,76.0,71.24,81.68,75.14,,,,317,,,,,,,,,,
318,cabot,Boston,MA,Materials & Chemicals,23,75.98,60.96,73.19,93.85,,,,318,,,,,,,,,,
319,petco,San Diego,CA,Retail & Consumer Goods,51,75.97,85.18,77.01,65.8,,,,319,,,,,,,,,,
320,polaris,Medina,MN,Automotive & Components,12,75.94,83.05,63.54,81.32,,,,320,,,,,,,,,,
321,granite construction,Watsonville,CA,Capital Goods,38,75.94,67.0,74.98,85.91,,,,321,,,,,,,,,,
324,exact sciences,Madison,WI,"Health Care, Life Sciences & Pharmaceuticals",25,75.78,83.57,75.83,68.02,,,,324,,,,,,,,,,
325,textron,Providence,RI,Capital Goods,39,75.73,88.28,61.25,77.74,,,,325,,,,,,,,,,
326,newmont,Denver,CO,Materials & Chemicals,24,75.71,79.73,86.74,60.76,,,,326,,,,,,,,,,
327,flowserve,Irving,TX,Capital Goods,40,75.69,79.56,65.88,81.7,,,,327,,,,,,,,,,
328,gen digital,Tempe,AZ,Media & Telecommunications,13,75.66,92.55,69.21,65.31,,,,328,,,,,,,,,,
329,diamondrock hospitality,Bethesda,MD,Real Estate & Housing,28,75.64,88.56,64.73,73.73,,,,329,,,,,,,,,,
330,eversource energy,Springfield,MA,Energy & Utilities,25,75.64,80.22,76.62,70.16,,,,330,,,,,,,,,,
331,varex imaging,Salt Lake City,UT,"Health Care, Life Sciences & Pharmaceuticals",26,75.64,88.09,59.1,79.81,,,,331,,,,,,,,,,
332,regal rexnord,Beloit,WI,Capital Goods,41,75.59,92.68,60.03,74.15,,,,332,,,,,,,,,,
333,xenia hotels resorts,Orlando,FL,Real Estate & Housing,29,75.58,81.26,65.03,80.52,,,,333,,,,,,,,,,
334,balchem,Montvale,NJ,Materials & Chemicals,25,75.55,73.72,72.53,80.48,,,,334,,,,,,,,,,
335,regions financial,Birmingham,AL,Financial,32,75.52,68.19,83.3,75.15,,,,335,,,,,,,,,,
336,discover,Riverwoods,IL,Financial,33,75.48,72.76,86.21,67.53,,,,336,,,,,,,,,,
337,general electric,Boston,MA,Capital Goods,42,75.46,77.65,68.45,80.36,,,,337,,,,,,,,,,
338,tpi composites,Scottsdale,AZ,Capital Goods,43,75.45,76.66,80.51,69.25,,,,338,,,,,,,,,,
339,first solar,Tempe,AZ,Energy & Utilities,26,75.42,87.13,73.45,65.75,,,,339,,,,,,,,,,
340,repligen,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",27,75.4,84.59,61.49,80.2,,,,340,,,,,,,,,,
341,elanco,Greenfield,IN,"Health Care, Life Sciences & Pharmaceuticals",28,75.39,87.15,67.4,71.71,,,,341,,,,,,,,,,
342,iridium,McLean,VA,Media & Telecommunications,14,75.31,82.08,69.75,74.18,,,,342,,,,,,,,,,
343,essex,San Mateo,CA,Real Estate & Housing,30,75.31,80.67,75.86,69.47,,,,343,,,,,,,,,,
344,the container store,Coppell,TX,Retail & Consumer Goods,52,75.27,84.33,73.11,68.45,,,,344,,,,,,,,,,
345,wabtec,Pittsburgh,PA,Transport & Logistics,6,75.16,78.55,71.89,75.12,,,,345,,,,,,,,,,
346,sun communities,Southfield,MI,Real Estate & Housing,31,75.15,81.16,70.32,74.05,,,,346,,,,,,,,,,
347,acuity brands,Atlanta,GA,Capital Goods,44,75.15,81.94,61.06,82.52,,,,347,,,,,,,,,,
348,transunion,Chicago,IL,Professional Services,16,75.13,76.05,80.11,69.29,,,,348,,,,,,,,,,
349,spx,Charlotte,NC,Capital Goods,45,75.11,83.88,68.89,72.66,,,,349,,,,,,,,,,
350,ch robinson,Eden Prairie,MN,Transport & Logistics,7,75.11,68.06,79.43,77.92,,,,350,,,,,,,,,,
351,electronic arts,Redwood City,CA,Software,14,75.1,79.12,77.12,69.15,,,,351,,,,,,,,,,
352,visteon,Van Buren Township,MI,Automotive & Components,13,75.06,98.65,53.69,72.92,,,,352,,,,,,,,,,
353,wabash,Lafayette,IN,Capital Goods,46,75.05,82.74,58.5,83.99,,,,353,,,,,,,,,,
354,sysco,Houston,TX,Retail & Consumer Goods,53,75.02,70.09,69.8,85.25,,,,354,,,,,,,,,,
355,pactiv evergreen,Lake Forest,IL,Materials & Chemicals,26,75.01,79.0,57.46,88.64,,,,355,,,,,,,,,,
356,jpmorgan chase co,New York City,NY,Financial,34,75.01,79.22,71.38,74.5,,,,356,,,,,,,,,,
357,aramark,Philadelphia,PA,"Hotels, Dining & Leisure",8,74.97,76.15,66.78,82.07,,,,357,,,,,,,,,,
358,public storage,Glendale,CA,Real Estate & Housing,32,74.92,80.45,74.95,69.44,,,,358,,,,,,,,,,
359,herc holdings,Bonita Springs,FL,Capital Goods,47,74.88,70.98,70.79,82.93,,,,359,,,,,,,,,,
360,roper technologies,Sarasota,FL,Technology,42,74.85,77.48,69.18,77.98,,,,360,,,,,,,,,,
361,helix energy solutions,Houston,TX,Energy & Utilities,27,74.85,72.94,75.61,76.08,,,,361,,,,,,,,,,
362,ryam,Jacksonville,FL,"Health Care, Life Sciences & Pharmaceuticals",29,74.85,76.63,73.3,74.68,,,,362,,,,,,,,,,
363,performance food,Richmond,VA,Retail & Consumer Goods,54,74.85,74.69,66.88,83.05,,,,363,,,,,,,,,,
364,copt defense properties,Columbia,MD,Real Estate & Housing,33,74.83,86.45,68.35,69.78,,,,364,,,,,,,,,,
365,godaddy,Tempe,AZ,Technology,43,74.81,73.5,76.01,75.0,,,,365,,,,,,,,,,
366,novanta,Bedford,MA,"Health Care, Life Sciences & Pharmaceuticals",30,74.81,81.38,59.53,83.59,,,,366,,,,,,,,,,
367,the andersons,Maumee,OH,Materials & Chemicals,27,74.76,80.69,59.87,83.81,,,,367,,,,,,,,,,
368,spirit aerosystems,Wichita,KS,Capital Goods,48,74.72,89.08,71.83,63.35,,,,368,,,,,,,,,,
369,viasat,Carlsbad,CA,Media & Telecommunications,15,74.71,82.08,76.05,66.06,,,,369,,,,,,,,,,
370,skywork solutions,Irvine,CA,Technology,44,74.67,80.43,60.38,83.28,,,,370,,,,,,,,,,
371,cmc,Irving,TX,Materials & Chemicals,28,74.66,76.3,64.12,83.64,,,,371,,,,,,,,,,
372,element solutions,Fort Lauderdale,FL,Materials & Chemicals,29,74.62,82.58,63.06,78.31,,,,372,,,,,,,,,,
373,factset,Norwalk,CT,Technology,45,74.62,68.51,72.72,82.69,,,,373,,,,,,,,,,
375,lilly,Indianapolis,IN,"Health Care, Life Sciences & Pharmaceuticals",32,74.57,74.06,78.78,70.93,,,,375,,,,,,,,,,
376,msa safety,Cranberry Township,PA,Capital Goods,49,74.51,93.86,58.7,71.08,,,,376,,,,,,,,,,
377,att,Dallas,TX,Media & Telecommunications,16,74.51,89.8,65.85,67.96,,,,377,,,,,,,,,,
378,arcbest,Fort Smith,AZ,Transport & Logistics,8,74.5,76.4,67.9,79.27,,,,378,,,,,,,,,,
379,phibro animal health,Teaneck,NJ,"Health Care, Life Sciences & Pharmaceuticals",33,74.49,81.3,68.02,74.24,,,,379,,,,,,,,,,
380,marvell technology,Wilmington,DE,Technology,46,74.47,86.37,54.41,82.71,,,,380,,,,,,,,,,
381,medical properties trust,Birmingham,AL,Real Estate & Housing,34,74.42,75.58,77.03,70.74,,,,381,,,,,,,,,,
382,oracle,Austin,TX,Technology,47,74.38,86.31,54.05,82.87,,,,382,,,,,,,,,,
383,cohu,Poway,CA,Technology,48,74.36,75.61,66.21,81.33,,,,383,,,,,,,,,,
384,blackbaud,Charleston,SC,Software,15,74.31,72.18,55.55,95.27,,,,384,,,,,,,,,,
385,corning,Corning,NY,Technology,49,74.3,71.14,78.01,73.82,,,,385,,,,,,,,,,
386,equity lifestyle properties,Chicago,IL,Real Estate & Housing,35,74.24,77.8,63.5,81.49,,,,386,,,,,,,,,,
387,california water service group,San Jose,CA,Energy & Utilities,28,74.18,65.75,79.93,76.94,,,,387,,,,,,,,,,
388,sprouts farmers market,Phoenix,AZ,Retail & Consumer Goods,55,74.18,73.91,67.94,80.77,,,,388,,,,,,,,,,
389,portland general electric,Portland,OR,Energy & Utilities,29,74.15,52.11,95.33,75.06,,,,389,,,,,,,,,,
390,nclh norwegian cruise line holdings ltd,Miami,FL,Transport & Logistics,9,74.13,72.14,70.87,79.44,,,,390,,,,,,,,,,
391,synchrony financial,Stamford,CT,Financial,35,74.07,72.81,81.81,67.66,,,,391,,,,,,,,,,
392,centerpoint energy,Houston,TX,Energy & Utilities,30,74.07,66.7,80.96,74.6,,,,392,,,,,,,,,,
393,dun bradstreet,Jacksonville,FL,Financial,36,74.05,63.7,80.37,78.15,,,,393,,,,,,,,,,
394,udr,Highlands Ranch,CO,Real Estate & Housing,36,74.04,84.1,57.22,80.88,,,,394,,,,,,,,,,
395,henry schein,Melville,NY,"Health Care, Life Sciences & Pharmaceuticals",34,73.99,60.64,76.51,84.87,,,,395,,,,,,,,,,
396,donaldson,Bloomington,MN,Capital Goods,50,73.95,77.05,65.3,79.58,,,,396,,,,,,,,,,
397,gibraltar industries,Buffalo,NY,Capital Goods,51,73.85,76.45,64.93,80.25,,,,397,,,,,,,,,,
398,ingevity,North Charleston,SC,Materials & Chemicals,30,73.81,68.85,80.21,72.43,,,,398,,,,,,,,,,
399,fortune brands,Deerfield,IL,Retail & Consumer Goods,56,73.8,80.73,69.18,71.56,,,,399,,,,,,,,,,
400,amh,Calabasas,CA,Real Estate & Housing,37,73.79,65.44,71.97,84.02,,,,400,,,,,,,,,,
401,simpson manufacturing company,Pleasanton,CA,Capital Goods,52,73.69,68.9,78.01,74.24,,,,401,,,,,,,,,,
402,range resources,Fort Worth,TX,Energy & Utilities,31,73.69,74.72,64.37,82.06,,,,402,,,,,,,,,,
403,fis,Jacksonville,FL,Technology,50,73.69,78.93,62.34,79.88,,,,403,,,,,,,,,,
404,axalta coating systems,Glen Mills,PA,Materials & Chemicals,31,73.67,77.36,61.24,82.5,,,,404,,,,,,,,,,
405,cintas,Cincinnati,OH,Retail & Consumer Goods,57,73.65,77.32,68.82,74.88,,,,405,,,,,,,,,,
406,fiserv,Milwaukee,WI,Technology,51,73.62,65.75,68.12,87.06,,,,406,,,,,,,,,,
407,us silica,Katy,TX,Materials & Chemicals,32,73.44,75.71,68.29,76.41,,,,407,,,,,,,,,,
408,ppl,Allentown,PA,Energy & Utilities,32,73.44,70.91,76.69,72.79,,,,408,,,,,,,,,,
409,matson,Honolulu,HI,Transport & Logistics,10,73.43,61.04,75.83,83.49,,,,409,,,,,,,,,,
410,alcoa,Pittsburgh,PA,Materials & Chemicals,33,73.4,62.79,80.25,77.23,,,,410,,,,,,,,,,
411,ashland,Wilmington,DE,Materials & Chemicals,34,73.39,75.89,61.46,82.9,,,,411,,,,,,,,,,
412,nordson,Westlake,OH,Capital Goods,53,73.37,67.94,78.61,73.63,,,,412,,,,,,,,,,
413,starbucks,Seattle,WA,"Hotels, Dining & Leisure",9,73.27,62.5,75.21,82.15,,,,413,,,,,,,,,,
414,green plains,Omaha,NE,Materials & Chemicals,35,73.26,72.13,71.85,75.88,,,,414,,,,,,,,,,
415,american vanguard,Newport Beach,CA,Materials & Chemicals,36,73.24,76.7,64.94,78.17,,,,415,,,,,,,,,,
416,standard motor products,Long Island City,NY,Automotive & Components,14,73.22,78.59,67.83,73.32,,,,416,,,,,,,,,,
417,jbt,Chicago,IL,Technology,52,73.2,83.7,70.97,65.01,,,,417,,,,,,,,,,
418,itt,White Plains,NY,Capital Goods,54,73.19,81.81,63.36,74.5,,,,418,,,,,,,,,,
419,rpm international,Medina,OH,Materials & Chemicals,37,73.15,88.79,65.67,65.08,,,,419,,,,,,,,,,
420,parkerhannifin,Cleveland,OH,Capital Goods,55,73.14,77.42,67.65,74.42,,,,420,,,,,,,,,,
421,hanesbrands,Winston-Salem,NC,Retail & Consumer Goods,58,73.07,95.1,56.38,67.83,,,,421,,,,,,,,,,
422,ducommun,Costa Mesa,CA,Capital Goods,56,73.07,75.42,63.41,80.44,,,,422,,,,,,,,,,
423,trimble,Sunnyvale,CA,Technology,53,73.04,70.18,80.0,69.0,,,,423,,,,,,,,,,
424,aecom,Dallas,TX,Professional Services,57,73.01,66.78,70.95,81.37,,,,424,,,,,,,,,,
425,knowles,Itasca,IL,Technology,54,73.01,79.93,66.98,72.19,,,,425,,,,,,,,,,
426,axcelis,Beverly,MA,Technology,55,73.01,88.91,61.3,68.89,,,,426,,,,,,,,,,
427,compass minerals,Overland Park,KS,Materials & Chemicals,38,73.0,67.01,75.66,76.39,,,,427,,,,,,,,,,
428,f5,Seattle,WA,Technology,56,72.99,70.38,64.81,83.84,,,,428,,,,,,,,,,
429,brinker international,Dallas,TX,"Hotels, Dining & Leisure",10,72.97,73.07,73.46,72.47,,,,429,,,,,,,,,,
430,scotts miraclegro,Marysville,OH,Materials & Chemicals,39,72.95,77.76,75.92,65.26,,,,430,,,,,,,,,,
431,lci industries,Elkhart,IN,Automotive & Components,15,72.94,67.76,61.21,89.93,,,,431,,,,,,,,,,
432,darling ingredients,Irving,TX,Retail & Consumer Goods,59,72.93,72.74,64.18,81.94,,,,432,,,,,,,,,,
433,travel leisure co,Orlando,FL,"Hotels, Dining & Leisure",11,72.85,69.9,69.69,79.03,,,,433,,,,,,,,,,
434,corteva agriscience,Indianapolis,IN,"Health Care, Life Sciences & Pharmaceuticals",35,72.84,68.03,73.39,77.18,,,,434,,,,,,,,,,
435,adtalem global education,Chicago,IL,Professional Services,17,72.81,74.3,71.79,72.43,,,,435,,,,,,,,,,
436,conocophillips,Houston,TX,Energy & Utilities,33,72.79,83.28,60.03,75.14,,,,436,,,,,,,,,,
437,booz allen hamilton,McLean,VA,Media & Telecommunications,17,72.77,71.86,71.4,75.12,,,,437,,,,,,,,,,
438,eastman,Kingsport,TN,Materials & Chemicals,40,72.75,58.96,86.99,72.36,,,,438,,,,,,,,,,
439,devon energy,Oklahoma City,OK,Energy & Utilities,34,72.73,76.36,61.75,80.14,,,,439,,,,,,,,,,
440,generac,Waukesha,WI,Energy & Utilities,35,72.7,79.07,66.94,72.17,,,,440,,,,,,,,,,
441,array technologies,Albuquerque,NM,Energy & Utilities,36,72.66,69.85,65.62,82.59,,,,441,,,,,,,,,,
442,marsh mclennan,New York City,NY,Professional Services,18,72.65,75.66,67.86,74.52,,,,442,,,,,,,,,,
443,southwest airlines,Dallas,TX,Transport & Logistics,11,72.64,65.64,81.3,71.06,,,,443,,,,,,,,,,
