RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
94,Equinix,Redwood City,CA,Media & Telecommunications,5,83.85,88.63,86.26,76.75
95,Church & Dwight,Ewing Township,NJ,Retail & Consumer Goods,14,83.77,91.12,73.65,86.63
96,Emerson,St. Louis,MO,Capital Goods,8,83.76,95.02,73.92,82.42
97,M&T Bank,Buffalo,NY,Financial,16,83.73,86.49,88.48,76.31
98,Albemarle,Charlotte,NC,Materials & Chemicals,6,83.68,84.03,88.01,79.08
99,Watts,North Andover,MA,Capital Goods,9,83.66,88.22,67.27,95.57
100,Itron,Liberty Lake,WA,Professional Services,4,83.65,93.14,64.18,93.73
101,FMC,Philadelphia,PA,Materials & Chemicals,7,83.56,90.17,72.45,88.17
102,AGCO,Duluth,GA,Capital Goods,10,83.5,88.89,77.0,84.69
103,Deere,Moline,IL,Capital Goods,11,83.42,92.31,83.21,74.83
104,Prudential,Newark,NJ,Financial,17,83.42,83.34,92.59,74.4
105,Avnet,Phoenix,AZ,Technology,20,83.41,93.8,79.01,77.53
106,Comfort Systems USA,Houston,TX,Capital Goods,12,83.33,86.99,71.07,92.0
107,Elevance Health,Indianapolis,IN,Financial,18,83.29,87.3,88.64,74.01
108,Jabil,St. Petersburg,FL,Technology,21,83.22,91.07,67.55,91.12
109,Regency Centers,Jacksonville,FL,Real Estate & Housing,5,83.19,82.53,86.04,81.09
110,PPG,Pittsburgh,PA,Materials & Chemicals,8,83.19,88.57,82.05,79.03
111,Zoetis,Parsippany,NJ,"Health Care, Life Sciences & Pharmaceuticals",12,83.17,91.65,73.03,84.92
112,Digital Realty,Austin,TX,Real Estate & Housing,6,83.15,90.43,73.63,85.47
113,Koppers,Pittsburgh,PA,Materials & Chemicals,9,83.06,86.48,77.08,85.7
114,Brixmor Property Group,New York City,NY,Real Estate & Housing,7,82.95,83.31,90.38,75.24
115,Intel,Santa Clara,CA,Technology,22,82.84,86.69,81.24,80.67
116,AvalonBay Communities,Arlington,VA,Real Estate & Housing,8,82.83,94.25,81.99,72.36
117,Mondelēz,Chicago,IL,Retail & Consumer Goods,15,82.82,88.43,81.17,78.93
118,Hasbro,Pawtucket,RI,Retail & Consumer Goods,16,82.76,87.99,86.97,73.41
119,Waste Management,Houston,TX,Energy & Utilities,3,82.64,87.0,83.62,77.39
120,EXL,New York City,NY,Professional Services,5,82.61,78.23,77.33,92.35
121,United Rentals,Stamford,CT,Professional Services,6,82.6,81.82,72.55,93.5
122,Bread Financial,Columbus,OH,Financial,19,82.59,89.09,73.44,85.32
123,PVH,New York City,NY,Retail & Consumer Goods,17,82.53,88.33,75.82,83.53
124,Sensata Technologies,Attleboro,MA,Technology,23,82.52,79.79,83.02,84.83
