RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
194,The Andersons,Maumee,Ohio,Retail,6,77.36,73.52,72.63,85.99
195,Cummins,Columbus,Indiana,Automotive & Components,3,77.33,92.38,73.81,65.9
196,Sunstone Hotel Investors,Irvine,California,Real Estate & Housing,20,77.33,79.39,74.64,78.05
197,PNC Financial Services,Pittsburgh,Pennsylvania,Financial,16,77.27,73.18,76.2,82.5
198,California Resources,Long Beach,California,Energy & Utilities,11,77.24,79.21,71.73,80.85
199,Kimco Realty,Jericho,New York,Real Estate & Housing,21,77.23,81.05,85.03,65.7
200,Albemarle,Charlotte,North Carolina,Materials & Chemicals,18,77.21,75.78,85.58,70.35
201,Balchem,Montvale,New Jersey,Materials & Chemicals,19,77.21,73.76,74.8,83.13
202,Newmont Gold,Denver,Colorado,Materials & Chemicals,20,77.17,83.33,78.86,69.43
204,Campbell Soup,Camden,New Jersey,Consumer Goods,20,77.15,80.93,82.03,68.57
205,Enphase,Fremont,California,Technology Hardware,34,77.14,85.03,61.56,84.92
206,HubSpot,Cambridge,Massachusetts,Software & Telecommunications,22,77.06,88.9,60.13,82.25
207,Hilton Worldwide Holdings,McLean,Virginia,"Hotels, Dining & Leisure",4,76.99,67.87,81.76,81.42
208,Cooper-Standard Holdings,Northville,Michigan,Automotive & Components,4,76.99,88.03,73.29,69.74
209,Infinera,San Jose,California,Technology Hardware,35,76.99,87.7,74.04,69.32
210,Principal Financial Group,Des Moines,Iowa,Financial,18,76.98,80.46,78.53,72.02
211,ManpowerGroup,Milwaukee,Wisconsin,Professional Services,7,76.97,90.3,55.47,85.24
212,Viasat,Carlsbad,California,Software & Telecommunications,23,76.86,81.19,80.01,69.47
213,Vertex Pharmaceuticals,Boston,Massachusetts,Health Care & Life Sciences,20,76.82,73.29,83.26,73.99
214,JBG SMITH Properties,Bethesda,Maryland,Real Estate & Housing,22,76.76,80.46,67.68,82.23
215,Colgate-Palmolive,New York,New York,Consumer Goods,21,76.76,90.08,66.79,73.5
