Rank,Company,Industry,City,State,Zip,Website,Employees,Revenue (in millions),Valuation (in millions),Profits (in millions),Ticker,CEO
346,Wayfair,Internet Services and Retailing,Boston,Massachusetts,2116,wayfair.com,"12,800","$12,003","$8,175",-$738,W,Niraj S. Shah
347,MasTec,Engineering & Construction,Coral Gables,Florida,33134,mastec.com,"34,000","$11,996","$7,393",-$50,MTZ,Jose R. Mas
348,Eversource Energy,Utilities: Gas and Electric,Springfield,Massachusetts,1104,eversource.com,"10,171","$11,911","$20,963",-$442,ES,Joseph R. Nolan
349,Newmont,"Mining, Crude-Oil Production",Denver,Colorado,80237,newmont.com,"21,700","$11,812","$41,316","-$2,494",NEM,Thomas R. Palmer
350,Ryder System,Transportation and Logistics,Coral Gables,Florida,33134,ryder.com,"47,500","$11,783","$5,321",$406,R,Robert E. Sanchez
351,Fidelity National Financial,Insurance: Property and Casualty (Stock),Jacksonville,Florida,32204,fnf.com,"22,293","$11,752","$14,507",$517,FNF,Michael J. Nolan
352,Molson Coors Beverage,Beverages,Chicago,Illinois,60606,molsoncoors.com,"16,500","$11,702","$14,298",$949,TAP,Gavin D.K. Hattersley
353,Caesars Entertainment,"Hotels, Casinos, Resorts",Reno,Nevada,89501,caesars.com,"51,000","$11,673","$9,461",$786,CZR,Thomas R. Reeg
354,Lincoln National,"Insurance: Life, Health (Stock)",Radnor,Pennsylvania,19087,https://lincolnfinancial.com,"11,024","$11,645","$5,418",-$752,LNC,Ellen G. Cooper
355,VF,Apparel,Denver,Colorado,80202,vfc.com,"26,400","$11,613","$5,964",$119,VFC,Bracken P. Darrell
356,International Flavors & Fragrances,Chemicals,New York,New York,10019,iff.com,"21,500","$11,479","$21,955","-$2,567",IFF,J. Erik Fyrwald
357,Huntington Ingalls Industries,Aerospace & Defense,Newport News,Virginia,23607,hii.com,"44,000","$11,454","$11,545",$681,HII,Christopher D. Kastner
358,Advance Auto Parts,Specialty Retailers: Other,Raleigh,North Carolina,27609,advanceautoparts.com,"54,500","$11,288","$5,072",$30,AAP,Shane M. O'Kelly
359,Public Service Enterprise Group,Utilities: Gas and Electric,Newark,New Jersey,7102,pseg.com,"12,543","$11,237","$33,296","$2,563",PEG,Ralph A. Larossa
360,Ulta Beauty,Specialty Retailers: Other,Bolingbrook,Illinois,60440,ulta.com,"38,000","$11,207","$25,239","$1,291",ULTA,David C. Kimbell
361,Hershey,Food Consumer Products,Hershey,Pennsylvania,17033,thehersheycompany.com,"19,578","$11,165","$39,719","$1,862",HSY,Michele G. Buck
362,Chewy,Internet Services and Retailing,Plantation,Florida,33322,chewy.com,"18,100","$11,148","$6,920",$40,CHWY,Sumit Singh
363,American Tower,Real Estate,Boston,Massachusetts,2116,americantower.com,"5,643","$11,144","$92,147","$1,483",AMT,Steven O. Vondran
364,Mohawk Industries,"Home Equipment, Furnishings",Calhoun,Georgia,30701,mohawkind.com,"43,300","$11,135","$8,337",-$440,MHK,Jeffrey S. Lorberbaum
365,Assurant,Insurance: Property and Casualty (Stock),Atlanta,Georgia,30339,assurant.com,"13,600","$11,132","$9,784",$643,AIZ,Keith W. Demmings
366,THOR Industries,Motor Vehicles & Parts,Elkhart,Indiana,46514,thorindustries.com,"24,900","$11,122","$6,257",$374,THO,Robert W. Martin
367,Graybar Electric,Wholesalers: Diversified,St. Louis,Missouri,63105,graybar.com,"9,500","$11,042",,$463,,Kathleen M. Mazzarella
368,Yum China Holdings,Food Services,Plano,Texas,75074,https://ir.yumchina.com,"293,500","$10,978","$15,599",$827,YUMC,Joey Wat
369,Celanese,Chemicals,Irving,Texas,75039,celanese.com,"12,410","$10,940","$19,173","$1,960",CE,Lori J. Ryerkerk
370,Qurate Retail,Internet Services and Retailing,Englewood,Colorado,80112,qurateretail.com,"20,386","$10,915",$511,-$145,QRTEA,David Rawlinson Ii
371,Williams,Pipelines,Tulsa,Oklahoma,74172,williams.com,"5,601","$10,907","$47,482","$3,179",WMB,Alan S. Armstrong
372,Interpublic Group,"Advertising, Marketing",New York,New York,10022,interpublic.com,"57,400","$10,889","$12,358","$1,098",IPG,Phillippe Krakowsky
373,Ovintiv,"Mining, Crude-Oil Production",Denver,Colorado,80202,ovintiv.com,"1,743","$10,883","$13,959","$2,085",OVV,Brendan M. Mccracken
374,Icahn Enterprises,Diversified Financials,Sunny Isles Beach,Florida,33160,ielp.com,"15,038","$10,847","$7,298",-$684,IEP,Andrew Teno
375,Huntington Bancshares,Commercial Banks,Columbus,Ohio,43287,huntington.com,"19,955","$10,837","$20,309","$1,951",HBAN,Stephen D. Steinour
376,Erie Insurance Group,Insurance: Property and Casualty (Mutual),Erie,Pennsylvania,16530,erieinsurance.com,"6,510","$10,813",,-$527,,Timothy G. Necastro
377,Carvana,"Automotive Retailing, Services",Tempe,Arizona,85281,carvana.com,"13,700","$10,771","$16,944",$450,CVNA,Ernest C. Garcia Iii
378,Hess,"Mining, Crude-Oil Production",New York,New York,10036,hess.com,"1,756","$10,645","$46,884","$1,382",HES,John B. Hess
379,Dana,Motor Vehicles & Parts,Maumee,Ohio,43537,dana.com,"41,800","$10,555","$1,841",$38,DAN,James K. Kamsickas
380,Alcoa,Metals,Pittsburgh,Pennsylvania,15212,alcoa.com,"13,600","$10,551","$6,067",-$651,AA,William F. Oplinger
381,Equitable Holdings,"Insurance: Life, Health (Stock)",New York,New York,10105,equitableholdings.com,"10,700","$10,528","$12,532","$1,302",EQH,Mark Pearson
382,KLA,Semiconductors and Other Electronic Components,Milpitas,California,95035,kla.com,"15,105","$10,496","$94,470","$3,387",KLAC,Rick Wallace
383,Darden Restaurants,Food Services,Orlando,Florida,32837,darden.com,"187,384","$10,488","$19,960",$982,DRI,Ricardo Cardenas
384,Autoliv,Motor Vehicles & Parts,Auburn Hills,Michigan,48326,autoliv.com,"66,434","$10,475","$9,810",$488,ALV,Mikael Bratt
385,Alaska Air Group,Airlines,Seattle,Washington,98188,alaskaair.com,"24,610","$10,426","$5,408",$235,ALK,Benito Minicucci
386,KeyCorp,Commercial Banks,Cleveland,Ohio,44114,key.com,"17,692","$10,397","$14,663",$967,KEY,Christopher M. Gorman
387,Las Vegas Sands,"Hotels, Casinos, Resorts",Las Vegas,Nevada,89113,sands.com,"38,550","$10,372","$38,840","$1,221",LVS,Robert G. Goldstein
388,Owens & Minor,Wholesalers: Health Care,Mechanicsville,Virginia,23116,owens-minor.com,"22,200","$10,334","$2,123",-$41,OMI,Edward A. Pesicka
389,Hilton Worldwide Holdings,"Hotels, Casinos, Resorts",McLean,Virginia,22102,hilton.com,"178,000","$10,235","$53,788","$1,141",HLT,Christopher J. Nassetta
390,Ebay,Internet Services and Retailing,San Jose,California,95125,ebay.com,"12,300","$10,112","$27,340","$2,767",EBAY,Jamie Iannone
391,Arthur J. Gallagher,Diversified Financials,Rolling Meadows,Illinois,60008,ajg.com,"52,118","$10,072","$54,584",$970,AJG,Patrick Gallagher
392,LPL Financial Holdings,Securities,San Diego,California,92121,lpl.com,"7,372","$10,053","$19,736","$1,066",LPLA,Dan H. Arnold
393,Cincinnati Financial,Insurance: Property and Casualty (Stock),Fairfield,Ohio,45014,cinfin.com,"5,426","$10,013","$19,456","$1,843",CINF,Stephen M. Spray
394,Toll Brothers,Homebuilders,Fort Washington,Pennsylvania,19034,tollbrothers.com,"4,800","$9,995","$13,477","$1,372",TOL,Douglas C. Yearley Jr.
395,Motorola Solutions,Network and Other Communications Equipment,Chicago,Illinois,60661,motorolasolutions.com,"21,000","$9,978","$59,142","$1,709",MSI,Gregory Q. Brown
396,Airbnb,Internet Services and Retailing,San Francisco,California,94103,airbnb.com,"6,907","$9,917","$106,740","$4,792",ABNB,Brian Chesky
397,Intercontinental Exchange,Securities,Atlanta,Georgia,30328,ice.com,"13,222","$9,903","$78,695","$2,368",ICE,Jeffrey C. Sprecher
398,News Corp.,"Publishing, Printing",New York,New York,10036,newscorp.com,"25,000","$9,879","$15,120",$149,NWSA,Robert J. Thomson
399,Chipotle Mexican Grill,Food Services,Newport Beach,California,92660,chipotle.com,"116,068","$9,872","$79,707","$1,229",CMG,Brian R. Niccol
400,Vertex Pharmaceuticals,Pharmaceuticals,Boston,Massachusetts,2210,vrtx.com,"5,400","$9,869","$107,975","$3,620",VRTX,Reshma Kewalramani
401,Biogen,Pharmaceuticals,Cambridge,Massachusetts,2142,biogen.com,"7,570","$9,836","$31,344","$1,161",BIIB,Christopher A. Viehbacher
402,GXO Logistics,Transportation and Logistics,Greenwich,Connecticut,6831,gxo.com,"109,000","$9,778","$6,412",$229,GXO,Malcolm Wilson
403,SpartanNash,Wholesalers: Food and Grocery,Grand Rapids,Michigan,49548,spartannash.com,"13,500","$9,729",$700,$52,SPTN,Tony Sarsam
404,Burlington Stores,Specialty Retailers: Apparel,Burlington,New Jersey,8016,burlingtoninvestors.com,"44,050","$9,728","$14,841",$340,BURL,Michael B. O’Sullivan
405,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",Minneapolis,Minnesota,55415,thrivent.com,"3,810","$9,720",,$347,,Teresa J. Rasmussen
406,NVR,Homebuilders,Reston,Virginia,20190,nvrinc.com,"6,300","$9,687","$25,904","$1,592",NVR,Eugene J. Bredow
407,Owens Corning,"Building Materials, Glass",Toledo,Ohio,43659,owenscorning.com,"18,000","$9,677","$14,510","$1,196",OC,Brian D. Chambers
407,Westinghouse Air Brake Technologies,Industrial Machinery,Pittsburgh,Pennsylvania,15212,wabteccorp.com,"29,000","$9,677","$25,790",$815,WAB,Rafael O. Santana
409,Oshkosh,Construction and Farm Machinery,Oshkosh,Wisconsin,54902,oshkoshcorp.com,"17,300","$9,658","$8,178",$598,OSK,John C. Pfeifer
410,Global Payments,Financial Data Services,Atlanta,Georgia,30326,globalpaymentsinc.com,"27,000","$9,654","$34,095",$986,GPN,Cameron M. Bready
411,Lululemon athletica,Specialty Retailers: Apparel,Sumner,Washington,98390,lululemon.com,"38,000","$9,619","$49,225","$1,550",LULU,Calvin Mcdonald
412,Albemarle,Chemicals,Charlotte,North Carolina,28209,albemarle.com,"9,000","$9,617","$15,483","$1,574",ALB,Kent Masters
413,JetBlue Airways,Airlines,Long Island City,New York,11101,jetblue.com,"21,310","$9,615","$2,524",-$310,JBLU,Joanna Geraghty
414,Seaboard,Food Production,Merriam,Kansas,66202,seaboardcorp.com,"12,847","$9,562","$3,131",$226,SEB,Robert L. Steer
415,Constellation Brands,Beverages,Victor,New York,14564,cbrands.com,"9,400","$9,453","$49,683",-$71,STZ,William A. Newlands
416,Graphic Packaging Holding,"Packaging, Containers",Atlanta,Georgia,30328,graphicpkg.com,"23,500","$9,428","$8,931",$723,GPK,Michael Doss
417,Hertz Global Holdings,"Automotive Retailing, Services",Estero,Florida,33928,hertz.com,"27,000","$9,371","$2,391",$616,HTZ,Gil West
418,FM Global,Insurance: Property and Casualty (Stock),Johnston,Rhode Island,2919,fmglobal.com,"5,667","$9,359",,"$3,749",,Malcolm Roberts
419,Campbell Soup,Food Consumer Products,Camden,New Jersey,8103,campbellsoupcompany.com,"14,500","$9,357","$13,251",$858,CPB,Mark A. Clouse
420,Expeditors International of Washington,Transportation and Logistics,Seattle,Washington,98104,expeditors.com,"18,452","$9,300","$17,249",$753,EXPD,Jeffrey S. Musser
421,A-Mark Precious Metals,Wholesalers: Diversified,El Segundo,California,90245,amark.com,421,"$9,287",$701,$156,AMRK,Gregory N. Roberts
422,Booz Allen Hamilton Holding,Information Technology Services,McLean,Virginia,22102,boozallen.com,"31,900","$9,259","$19,260",$272,BAH,Horacio D. Rozanski
423,Quest Diagnostics,Health Care: Pharmacy and Other Services,Secaucus,New Jersey,7094,questdiagnostics.com,"44,000","$9,252","$14,783",$854,DGX,James E. Davis
424,Altice USA,Telecommunications,Long Island City,New York,11101,alticeusa.com,"10,600","$9,237","$1,191",$53,ATUS,Dennis Mathew
425,PVH,Apparel,New York,New York,10017,pvh.com,"23,000","$9,218","$8,386",$664,PVH,Stefan Larsson
426,Eastman Chemical,Chemicals,Kingsport,Tennessee,37660,eastman.com,"14,000","$9,210","$11,786",$894,EMN,Mark J. Costa
427,Insight Enterprises,Information Technology Services,Chandler,Arizona,85286,insight.com,"14,437","$9,176","$6,046",$281,NSIT,Joyce Mullen
428,Regions Financial,Commercial Banks,Birmingham,Alabama,35203,regions.com,"20,101","$9,153","$19,333","$2,074",RF,John M. Turner Jr.
429,Beacon Roofing Supply,Wholesalers: Diversified,Herndon,Virginia,20170,becn.com,"8,063","$9,120","$6,218",$435,BECN,Julian G. Francis
430,Rockwell Automation,"Electronics, Electrical Equip.",Milwaukee,Wisconsin,53204,rockwellautomation.com,"29,000","$9,058","$33,384","$1,387",ROK,Blake D. Moret
431,Polaris,Transportation Equipment,Medina,Minnesota,55340,polaris.com,"18,500","$9,015","$5,655",$503,PII,Michael T. Speetzen
432,ServiceNow,Computer Software,Santa Clara,California,95054,servicenow.com,"22,668","$8,971","$156,292","$1,731",NOW,Bill Mcdermott
433,Sanmina,Semiconductors and Other Electronic Components,San Jose,California,95134,sanmina.com,"36,000","$8,935","$3,468",$310,SANM,Jure Sola
434,UGI,Utilities: Gas and Electric,King of Prussia,Pennsylvania,19406,ugicorp.com,"10,500","$8,928","$5,142","-$1,502",UGI,Mario Longhi
